time[]	t[,1]	t[,2]	t[,3]	r[,1]	r[,2]	r[,3]	n[,1]	n[,2]	n[,3]	na[]	#Study	
5.8	1	2	3	43	34	37	1081	2213	1102	3	#MRC-E	38
4.7	1	2	NA	29	20	NA	416	424	NA	2	#EWPH	32
3	1	2	NA	140	118	NA	1631	1578	NA	2	#SHEP	42
3.8	1	3	NA	75	86	NA	3272	3297	NA	2	#HAPPHY33	
4	1	4	5	302	154	119	6766	3954	4096	3	#ALLHAT	26
3	1	4	NA	176	136	NA	2511	2508	NA	2	#INSIGHT35	
4.1	1	5	NA	200	138	NA	2826	2800	NA	2	#ANBP-2	18
1	1	6	NA	8	1	NA	196	196	NA	2	#ALPINE	27
3.3	2	4	NA	154	177	NA	4870	4841	NA	2	#FEVER	20
3	2	5	NA	489	449	NA	2646	2623	NA	2	#DREAM	31
4.5	2	5	NA	155	102	NA	2883	2837	NA	2	#HOPE	34
4.8	2	5	NA	399	335	NA	3472	3432	NA	2	#PEACE	40
3.1	2	6	NA	202	163	NA	2721	2715	NA	2	#CHARM	30
3.7	2	6	NA	115	93	NA	2175	2167	NA	2	#SCOPE	41
3.8	3	4	5	70	32	45	405	202	410	3	#AASK	25
4	3	4	5	97	95	93	1960	1965	1970	3	#STOP-2	43
5.5	3	4	NA	799	567	NA	7040	7072	NA	2	#ASCOT	28
4.5	3	4	NA	251	216	NA	5059	5095	NA	2	#NORDIL	39
4	3	4	NA	665	569	NA	8078	8098	NA	2	#INVEST	36
6.1	3	5	NA	380	337	NA	5230	5183	NA	2	#CAPPP	29
4.8	3	6	NA	320	242	NA	3979	4020	NA	2	#LIFE	37
4.2	4	6	NA	845	690	NA	5074	5087	NA	2	#VALUE	44
