### Ergebnis

# Versuch 1

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	d	-0.2499	0.06214	0.002334	-0.3699	-0.2514	-0.1194	10001	10000
	delta.new	-0.2506	0.1496	0.002988	-0.5504	-0.2528	0.06752	10001	10000
	sigma	0.1163	0.06834	0.003742	0.02543	0.1044	0.2751	10001	10000


# Versuch 2

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	d	-0.2499	0.06214	0.002334	-0.3699	-0.2514	-0.1194	10001	10000
	delta.new	-0.2506	0.1496	0.002988	-0.5504	-0.2528	0.06752	10001	10000
	sigma	0.1163	0.06834	0.003742	0.02543	0.1044	0.2751	10001	10000



# Versuch 3
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	d	-0.2499	0.06214	0.002334	-0.3699	-0.2514	-0.1194	10001	10000
	delta.new	-0.2506	0.1496	0.002988	-0.5504	-0.2528	0.06752	10001	10000
	sigma	0.1163	0.06834	0.003742	0.02543	0.1044	0.2751	10001	10000
