
Versuch 1


	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	a	0.09772	100.1	0.409	-198.0	0.6396	196.0	10001	60000
	b	0.006775	31.59	0.1234	-61.92	-0.004741	61.58	10001	60000
	c	-0.04338	9.992	0.04142	-19.53	-0.105	19.56	10001	60000
	d	0.006071	3.147	0.01344	-6.177	0.02602	6.126	10001	60000
	f	-0.001047	0.9957	0.003999	-1.947	-0.003487	1.954	10001	60000
	g	-1.723	315.1	1.21	-616.8	-1.211	615.8	10001	60000
	h	-3.967	999.4	4.09	-1961.0	-0.3574	1962.0	10001	60000


Versuch 2

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	a	0.09772	100.1	0.409	-198.0	0.6396	196.0	10001	60000
	b	0.006775	31.59	0.1234	-61.92	-0.004741	61.58	10001	60000
	c	-0.04338	9.992	0.04142	-19.53	-0.105	19.56	10001	60000
	d	0.006071	3.147	0.01344	-6.177	0.02602	6.126	10001	60000
	f	-0.001047	0.9957	0.003999	-1.947	-0.003487	1.954	10001	60000
	g	-1.723	315.1	1.21	-616.8	-1.211	615.8	10001	60000
	h	-3.967	999.4	4.09	-1961.0	-0.3574	1962.0	10001	60000


Versuch 3

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	a	0.09772	100.1	0.409	-198.0	0.6396	196.0	10001	60000
	b	0.006775	31.59	0.1234	-61.92	-0.004741	61.58	10001	60000
	c	-0.04338	9.992	0.04142	-19.53	-0.105	19.56	10001	60000
	d	0.006071	3.147	0.01344	-6.177	0.02602	6.126	10001	60000
	f	-0.001047	0.9957	0.003999	-1.947	-0.003487	1.954	10001	60000
	g	-1.723	315.1	1.21	-616.8	-1.211	615.8	10001	60000
	h	-3.967	999.4	4.09	-1961.0	-0.3574	1962.0	10001	60000














