Versuch 1

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	a	2.5	1.444	0.005841	0.1245	2.49	4.875	10001	60000
	b	0.5009	0.2888	0.001206	0.02513	0.5021	0.9747	10001	60000
	c	5.017	2.888	0.01158	0.2535	5.025	9.755	10001	60000
	e	9.48	89.92	0.3833	0.0	3.392E-28	48.5	10001	60000
	f	98.69	316.8	1.29	6.404E-14	0.6039	963.8	10001	60000
	i	0.9486	9.06	0.03675	0.0	6.488E-29	4.928	10001	60000
	j	0.9953	3.087	0.01284	6.444E-16	0.006312	9.76	10001	60000
	k	0.9906	0.9933	0.003874	0.02466	0.6847	3.659	10001	60000
	l	1.0	0.0	2.357E-13	1.0	1.0	1.0	10001	60000
	m	2.0	0.0	2.357E-13	2.0	2.0	2.0	10001	60000
	n	3.0	0.0	2.357E-13	3.0	3.0	3.0	10001	60000
	o	0.9973	1.002	0.004237	0.0	1.0	3.0	10001	60000
	p	1.999	1.414	0.005749	0.0	2.0	5.0	10001	60000
	q	3.008	1.727	0.007022	0.0	3.0	7.0	10001	60000







Versuch 2:

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	a	2.5	1.444	0.005841	0.1245	2.49	4.875	10001	60000
	b	0.5009	0.2888	0.001206	0.02513	0.5021	0.9747	10001	60000
	c	5.017	2.888	0.01158	0.2535	5.025	9.755	10001	60000
	e	9.48	89.92	0.3833	0.0	3.392E-28	48.5	10001	60000
	f	98.69	316.8	1.29	6.404E-14	0.6039	963.8	10001	60000
	i	0.9486	9.06	0.03675	0.0	6.488E-29	4.928	10001	60000
	j	0.9953	3.087	0.01284	6.444E-16	0.006312	9.76	10001	60000
	k	0.9906	0.9933	0.003874	0.02466	0.6847	3.659	10001	60000
	l	1.0	0.0	2.357E-13	1.0	1.0	1.0	10001	60000
	m	2.0	0.0	2.357E-13	2.0	2.0	2.0	10001	60000
	n	3.0	0.0	2.357E-13	3.0	3.0	3.0	10001	60000
	o	0.9973	1.002	0.004237	0.0	1.0	3.0	10001	60000
	p	1.999	1.414	0.005749	0.0	2.0	5.0	10001	60000
	q	3.008	1.727	0.007022	0.0	3.0	7.0	10001	60000


Versuch 3:

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	a	2.5	1.444	0.005841	0.1245	2.49	4.875	10001	60000
	b	0.5009	0.2888	0.001206	0.02513	0.5021	0.9747	10001	60000
	c	5.017	2.888	0.01158	0.2535	5.025	9.755	10001	60000
	e	9.48	89.92	0.3833	0.0	3.392E-28	48.5	10001	60000
	f	98.69	316.8	1.29	6.404E-14	0.6039	963.8	10001	60000
	i	0.9486	9.06	0.03675	0.0	6.488E-29	4.928	10001	60000
	j	0.9953	3.087	0.01284	6.444E-16	0.006312	9.76	10001	60000
	k	0.9906	0.9933	0.003874	0.02466	0.6847	3.659	10001	60000
	l	1.0	0.0	2.357E-13	1.0	1.0	1.0	10001	60000
	m	2.0	0.0	2.357E-13	2.0	2.0	2.0	10001	60000
	n	3.0	0.0	2.357E-13	3.0	3.0	3.0	10001	60000
	o	0.9973	1.002	0.004237	0.0	1.0	3.0	10001	60000
	p	1.999	1.414	0.005749	0.0	2.0	5.0	10001	60000
	q	3.008	1.727	0.007022	0.0	3.0	7.0	10001	60000








